row_id_22565,project_id,mp_name,state,constituency,work_22565,work_production,similarity_score,district_22565,expenditure_amount,allocation_amount,matching_method,confidence_category
11,PRJ_0AF165AC9831,Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Krishna,380097.0,562000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
12,PRJ_D81924156D28,Midhun Reddy,Andhra Pradesh,Rajampet,Providing supply pipelines for drinking water,NA - Providing supply pipelines for drinking water,1.0,Chittoor,99980.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
17,PRJ_73C8C835B2E9,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Tirupati,488636.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
18,PRJ_B9E600C2347E,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Tirupati,419963.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
22,PRJ_C89BD680318D,Midhun Reddy,Andhra Pradesh,Rajampet,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Annamayya,499375.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
60,PRJ_BCFBDDC30087,Magunta Sreenivasulu Reddy,Andhra Pradesh,Ongole,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Prakasam,1199137.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
62,PRJ_B2BB22171287,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Providing drains and gutters for public drainage,NA - Providing drains and gutters for public drainage,1.0,Srikakulam,495433.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
63,PRJ_EA880C49E69D,Midhun Reddy,Andhra Pradesh,Rajampet,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Annamayya,449930.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
95,PRJ_7119C15E1AB6,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Construction of rooms and halls in school and colleges,NA - Construction of rooms and halls in school and colleges,1.0,Tirupati,499993.0,300000.0,exact_normalized_l1,HIGH_CONFIDENCE
132,PRJ_D3B39657F3B0,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Srikakulam,485043.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
164,PRJ_7E180950A8A0,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Construction of bus-sheds or bus-stops,NA - Construction of bus-sheds or bus-stops,1.0,Srikakulam,512727.0,700000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
166,PRJ_5339E4B209D3,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Srikakulam,498394.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
169,PRJ_C0673547FB6C,Midhun Reddy,Andhra Pradesh,Rajampet,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Chittoor,499996.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
198,PRJ_8B896FB7F116,Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Krishna,1158273.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
209,PRJ_C75C64E77004,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Y.S.R. Kadapa,275219.0,455000.0,exact_normalized_l1,HIGH_CONFIDENCE
212,PRJ_00CF4BB9E221,Midhun Reddy,Andhra Pradesh,Rajampet,Providing drains and gutters for public drainage,NA - Providing drains and gutters for public drainage,1.0,Annamayya,183546.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
245,PRJ_409D98563DEB,Midhun Reddy,Andhra Pradesh,Rajampet,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Chittoor,283452.0,30000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
247,PRJ_B53C79CB8A16,Midhun Reddy,Andhra Pradesh,Rajampet,Installing tube-wells and borewells,NA - Installing tube-wells and borewells,1.0,Annamayya,197365.0,150000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
283,PRJ_3E7644296695,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Construction of toilet blocks,NA - Construction of toilet blocks,1.0,Srikakulam,327925.0,300000.0,exact_normalized_l1,HIGH_CONFIDENCE
294,PRJ_929BF3CA7830,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,Y.S.R. Kadapa,199285.0,1000000.0,exact_normalized_l1,HIGH_CONFIDENCE
303,PRJ_5D2BE0551623,Lavu Sri Krishna Devarayalu,Andhra Pradesh,Narasaraopet,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Palnadu,199628.0,1400000.0,exact_normalized_l1,HIGH_CONFIDENCE
355,PRJ_2F4A6795A990,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Providing supply pipelines for drinking water,NA - Providing supply pipelines for drinking water,1.0,Tirupati,498850.0,450000.0,exact_normalized_l1,HIGH_CONFIDENCE
375,PRJ_241980B53513,Midhun Reddy,Andhra Pradesh,Rajampet,Construction of bus-sheds or bus-stops,NA - Construction of bus-sheds or bus-stops,1.0,Chittoor,284908.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
419,PRJ_32FF840614FA,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Construction of public irrigation facilities,NA - Construction of public irrigation facilities,1.0,Y.S.R. Kadapa,199487.0,490000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
627,PRJ_4B8D5C01869E,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Srikakulam,1386007.0,355000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
691,PRJ_00418BB5A699,Magunta Sreenivasulu Reddy,Andhra Pradesh,Ongole,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,Prakasam,992801.0,650000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
730,PRJ_3CA5442B2D89,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Providing supply pipelines for drinking water,NA - Providing supply pipelines for drinking water,1.0,Y.S.R. Kadapa,391781.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
770,PRJ_0F5167726944,Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,East Godavari,243215.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
909,PRJ_F6A8A2BE60B9,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Establishing public ground water recharging facilities,NA - Establishing public ground water recharging facilities,1.0,Y.S.R. Kadapa,500000.0,150000.0,exact_normalized_l1,HIGH_CONFIDENCE
967,PRJ_D58E8C9BDAEE,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Tirupati,423883.0,328501.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1154,PRJ_7F9179F5383B,Midhun Reddy,Andhra Pradesh,Rajampet,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","NA - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",1.0,Annamayya,90000.0,100000.0,exact_normalized_l1,HIGH_CONFIDENCE
1197,PRJ_CCD3A6D744DD,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Y.S.R. Kadapa,434169.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1298,PRJ_00EDAF91AE2D,Lavu Sri Krishna Devarayalu,Andhra Pradesh,Narasaraopet,Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Guntur,416758.0,50000.0,exact_normalized_l1,HIGH_CONFIDENCE
1396,PRJ_105B90C16CE4,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Construction of culverts and bridges,NA - Construction of culverts and bridges,1.0,Tirupati,497541.0,3900000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1594,PRJ_D43D96BB1075,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Street lights,NA - Street lights,1.0,Srikakulam,499717.0,475000.0,exact_normalized_l1,HIGH_CONFIDENCE
1743,PRJ_0343377272D9,Kiren Rijiju,Arunachal Pradesh,Arunachal West,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Lower Subansiri,500000.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1751,PRJ_7CE960FCBC32,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of footpaths and pedestrian ways,NA - Construction of footpaths and pedestrian ways,1.0,Kamle,2000000.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1752,PRJ_05828E662DA0,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Papum Pare,200000.0,2000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1764,PRJ_BC8F83B2D770,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of culverts and bridges,NA - Construction of culverts and bridges,1.0,Lower Subansiri,101892.0,400000.0,exact_normalized_l1,HIGH_CONFIDENCE
1765,PRJ_CAF7E8B606F0,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Providing drains and gutters for public drainage,NA - Providing drains and gutters for public drainage,1.0,Lower Subansiri,99560.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1771,PRJ_BCFB8AEC81C5,Tapir Gao,Arunachal Pradesh,Arunachal East,Construction of public irrigation facilities,NA - Construction of public irrigation facilities,1.0,Upper Siang,492647.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1783,PRJ_EFB89A925A8B,Tapir Gao,Arunachal Pradesh,Arunachal East,Construction of culverts and bridges,NA - Construction of culverts and bridges,1.0,Upper Siang,394182.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1788,PRJ_5F17635ED994,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of toilet blocks,NA - Construction of toilet blocks,1.0,West Kameng,20543.0,400000.0,exact_normalized_l1,HIGH_CONFIDENCE
1797,PRJ_A4A661979DEA,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of bus-sheds or bus-stops,NA - Construction of bus-sheds or bus-stops,1.0,West Kameng,500000.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1801,PRJ_0F935F406136,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of water tanks,NA - Construction of water tanks,1.0,Siang,200568.0,1000000.0,exact_normalized_l1,HIGH_CONFIDENCE
1805,PRJ_4B8F15C6F573,Tapir Gao,Arunachal Pradesh,Arunachal East,Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,East Siang,404157.0,1000000.0,exact_normalized_l1,HIGH_CONFIDENCE
1818,PRJ_6083C05D66C8,Tapir Gao,Arunachal Pradesh,Arunachal East,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Siang,229684.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1819,PRJ_E0953D71A87E,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of public toilets and bathrooms,NA - Construction of public toilets and bathrooms,1.0,Siang,245631.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1845,PRJ_60D2C45D2F5E,Tapir Gao,Arunachal Pradesh,Arunachal East,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Siang,53911.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1856,PRJ_62986BFE977A,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of public irrigation facilities,NA - Construction of public irrigation facilities,1.0,Lower Subansiri,400000.0,500000.0,exact_normalized_l1,HIGH_CONFIDENCE
1858,PRJ_2F3884B836E8,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of rooms and halls in school and colleges,NA - Construction of rooms and halls in school and colleges,1.0,Lower Subansiri,1500000.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1873,PRJ_AEA6B72C07C1,Tapir Gao,Arunachal Pradesh,Arunachal East,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,East Siang,32439.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1883,PRJ_2A3DC0A16128,Tapir Gao,Arunachal Pradesh,Arunachal East,Development of playfields and sports grounds,NA - Development of playfields and sports grounds,1.0,East Siang,390000.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1898,PRJ_E605C09F7303,Tapir Gao,Arunachal Pradesh,Arunachal East,Providing supply pipelines for drinking water,NA - Providing supply pipelines for drinking water,1.0,Lower Dibang Valley,1000000.0,1000000.0,exact_normalized_l1,HIGH_CONFIDENCE
1916,PRJ_8EE99C0478CE,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,Lower Siang,500000.0,1000000.0,exact_normalized_l1,HIGH_CONFIDENCE
1953,PRJ_4AEC80C9695A,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Development of playground,NA - Development of playground,1.0,Upper Subansiri,800000.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1964,PRJ_3CD338A2D122,Tapir Gao,Arunachal Pradesh,Arunachal East,Providing drains and gutters for public drainage,NA - Providing drains and gutters for public drainage,1.0,Namsai,499185.0,2000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1966,PRJ_0B6FF8131307,Tapir Gao,Arunachal Pradesh,Arunachal East,Development of playground,NA - Development of playground,1.0,Upper Siang,30124.0,1500000.0,exact_normalized_l1,HIGH_CONFIDENCE
1967,PRJ_CECA7AE33047,Tapir Gao,Arunachal Pradesh,Arunachal East,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Lower Siang,200000.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2005,PRJ_F8E7F25764DB,Tapir Gao,Arunachal Pradesh,Arunachal East,Construction of common work sheds/ common covered sitting area,NA - Construction of common work sheds/ common covered sitting area,1.0,Longding,200000.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2060,PRJ_B416C01A0BB0,Tapir Gao,Arunachal Pradesh,Arunachal East,Purchase of furniture and fixtures for educational purposes,NA - Purchase of furniture and fixtures for educational purposes,1.0,East Siang,1000000.0,800000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2084,PRJ_1095EA9307E5,Tapir Gao,Arunachal Pradesh,Arunachal East,Construction of water tanks,NA - Construction of water tanks,1.0,Longding,300000.0,800000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2100,PRJ_52942178020C,Pradan Baruah,Assam,Lakhimpur,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Lakhimpur,276250.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2107,PRJ_2D9A2ACC6CCD,Pradyut Bordoloi,Assam,Nowgong,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Nagaon,125000.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2126,PRJ_71199B559AB7,Pradyut Bordoloi,Assam,Nowgong,Construction of rooms and halls in school and colleges,NA - Construction of rooms and halls in school and colleges,1.0,Nagaon,21850.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2149,PRJ_D8A7D1F70169,Kripanath Mallah,Assam,Karimganj (Sc),Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Sribhumi,1308000.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2150,PRJ_6DBFC57E33FA,Kripanath Mallah,Assam,Karimganj (Sc),Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Sribhumi,249000.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2198,PRJ_127F878DE6E8,Pradan Baruah,Assam,Lakhimpur,Construction of rooms and halls in school and colleges,NA - Construction of rooms and halls in school and colleges,1.0,Tinsukia,203650.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2222,PRJ_71BAB946E9EB,Pradyut Bordoloi,Assam,Nowgong,Construction of public toilets and bathrooms,NA - Construction of public toilets and bathrooms,1.0,Marigaon,95760.0,250000.0,exact_normalized_l1,HIGH_CONFIDENCE
2263,PRJ_25C378963883,Pradyut Bordoloi,Assam,Nowgong,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Marigaon,99750.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2278,PRJ_1BE0DBDFED71,Pradyut Bordoloi,Assam,Nowgong,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Nagaon,119000.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2314,PRJ_1236A4E5E1C8,Pradyut Bordoloi,Assam,Nowgong,Construction of toilet blocks,NA - Construction of toilet blocks,1.0,Marigaon,99650.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
2462,PRJ_8E7165A92743,Pradyut Bordoloi,Assam,Nowgong,"Purchase of IT systems, including hardware and software for educational purposes","NA - Purchase of IT systems, including hardware and software for educational purposes",1.0,Marigaon,159740.0,450000.0,exact_normalized_l1,HIGH_CONFIDENCE
2669,PRJ_5505D74792D3,Pradan Baruah,Assam,Lakhimpur,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","NA - Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",1.0,Dhemaji,250000.0,500000.0,exact_normalized_l1,HIGH_CONFIDENCE
2843,PRJ_E0ED4DF0A7EA,Kripanath Mallah,Assam,Karimganj (Sc),"Purchase of IT systems, including hardware and software for educational purposes","NA - Purchase of IT systems, including hardware and software for educational purposes",1.0,Sribhumi,997500.0,2000000.0,exact_normalized_l1,HIGH_CONFIDENCE
3308,PRJ_446502C598AD,Pradan Baruah,Assam,Lakhimpur,Construction of culverts and bridges,NA - Construction of culverts and bridges,1.0,Dhemaji,3574579.0,500000.0,exact_normalized_l1,HIGH_CONFIDENCE
3383,PRJ_B345BBB0190E,Pradan Baruah,Assam,Lakhimpur,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,Dhemaji,300000.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
3482,PRJ_FEF99BA055DF,Pradyut Bordoloi,Assam,Nowgong,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,Marigaon,143370.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
3592,PRJ_FE6D53AED52E,Pradyut Bordoloi,Assam,Nowgong,Construction of water tanks,NA - Construction of water tanks,1.0,Nagaon,150000.0,250000.0,exact_normalized_l1,HIGH_CONFIDENCE
3622,PRJ_8F53DCC21A63,Pradyut Bordoloi,Assam,Nowgong,Construction of public libraries and reading rooms,NA - Construction of public libraries and reading rooms,1.0,Nagaon,195479.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
3746,PRJ_2ACB8D453188,Pradyut Bordoloi,Assam,Nowgong,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Marigaon,249734.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4391,PRJ_66D2D72F8A54,Pradan Baruah,Assam,Lakhimpur,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Dhemaji,599900.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4399,PRJ_955F7A2A9CDD,Pradan Baruah,Assam,Lakhimpur,Construction of public toilets and bathrooms,NA - Construction of public toilets and bathrooms,1.0,Dhemaji,300000.0,500000.0,exact_normalized_l1,HIGH_CONFIDENCE
4510,PRJ_6D98206F7FBB,Ajay Kumar Mandal,Bihar,Bhagalpur,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Bhagalpur,959582.0,749000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4512,PRJ_F8C41E4AF810,Ravi Shankar Prasad,Bihar,Patna Sahib,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Patna,994500.0,800000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4523,PRJ_1A86E0FA6A1D,Kaushalendra Kumar,Bihar,Nalanda,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Nalanda,398886.0,350000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4525,PRJ_C5326C0BEEF6,Radha Mohan Singh,Bihar,Purvi Champaran,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Purbi Champaran,381096.0,1500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4528,PRJ_6EB725E94F1F,Nityanand Rai,Bihar,Ujjarpur,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Samastipur,650000.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4541,PRJ_AF9C3BD567A1,Alok Kumar Suman,Bihar,Gopalganj (Sc),"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Gopalganj,559800.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4544,PRJ_3EBF74EE950C,Janardan Singh Sigriwal,Bihar,Maharajganj_Br,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Saran,1458930.0,1367100.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4548,PRJ_279CDAA70DBC,Pradeep Kumar Singh,Bihar,Araria,Construction of rooms and halls in school and colleges,NA - Construction of rooms and halls in school and colleges,1.0,Araria,1492019.0,1500000.0,exact_normalized_l1,HIGH_CONFIDENCE
4602,PRJ_8208624FC095,Giridhari Yadav,Bihar,Banka,Construction of additional rooms and halls in the existing public and community building,NA - Construction of additional rooms and halls in the existing public and community building,1.0,Banka,988705.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4622,PRJ_C0181D4D964B,Giridhari Yadav,Bihar,Banka,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Banka,991789.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4631,PRJ_676A0764E176,Dinesh Chandra Yadav,Bihar,Madhepura,Construction of rooms and halls in school and colleges,NA - Construction of rooms and halls in school and colleges,1.0,Madhepura,887829.0,1500000.0,exact_normalized_l1,HIGH_CONFIDENCE
4748,PRJ_955572281BCA,Dileshwar Kamait,Bihar,Supaul,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Supaul,1424723.0,423800.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4749,PRJ_DCDD21E538B0,Dinesh Chandra Yadav,Bihar,Madhepura,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Saharsa,1497179.0,1499980.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4752,PRJ_9756EE3C652E,Dinesh Chandra Yadav,Bihar,Madhepura,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Saharsa,561429.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4756,PRJ_1CBAAAA5F321,Alok Kumar Suman,Bihar,Gopalganj (Sc),Lighting of public spaces,NA - Lighting of public spaces,1.0,Gopalganj,995000.0,1114286.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4838,PRJ_B62FE53EF57A,Radha Mohan Singh,Bihar,Purvi Champaran,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Purbi Champaran,744611.0,1495000.0,exact_normalized_l1,HIGH_CONFIDENCE
4859,PRJ_4FDFA290A3FB,Janardan Singh Sigriwal,Bihar,Maharajganj_Br,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Siwan,796819.0,1.0,exact_normalized_l1,MEDIUM_CONFIDENCE
4887,PRJ_C27F3E527E03,Radha Mohan Singh,Bihar,Purvi Champaran,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Purbi Champaran,1487959.0,1500000.0,exact_normalized_l1,HIGH_CONFIDENCE
4906,PRJ_82C9124E2708,Giridhari Yadav,Bihar,Banka,Lighting of public spaces,NA - Lighting of public spaces,1.0,Bhagalpur,999990.0,925000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
5018,PRJ_7DF43C976460,Giridhari Yadav,Bihar,Banka,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Banka,446857.0,1058000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
5025,PRJ_3D5D2EC1F1B6,Dinesh Chandra Yadav,Bihar,Madhepura,Street lights,NA - Street lights,1.0,Saharsa,697000.0,921000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
5430,PRJ_44916D96349B,Nityanand Rai,Bihar,Ujjarpur,Construction of water tanks,NA - Construction of water tanks,1.0,Samastipur,322014.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
5466,PRJ_4C69F5EA3183,Radha Mohan Singh,Bihar,Purvi Champaran,Street lights,NA - Street lights,1.0,Purbi Champaran,998000.0,1280000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
5574,PRJ_0C662FE1B22D,Radha Mohan Singh,Bihar,Purvi Champaran,Development of public parks,NA - Development of public parks,1.0,Purbi Champaran,1479192.0,1500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
5614,PRJ_4DA8B6420486,Ramprit Mandal,Bihar,Jhanjharpur,Street lights,NA - Street lights,1.0,Madhubani,994000.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
6043,PRJ_6172708EDE94,Ramprit Mandal,Bihar,Jhanjharpur,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Bhojpur,1198844.0,800000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
6188,PRJ_C352302FD280,Giriraj Singh,Bihar,Begusarai,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Begusarai,820600.0,1200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
