vendor_name,total_expenditure,tx_count,mp_count,constituency_count,district_count
MAHAKUMBHA PROPERTIES PVT LIMITED,28814921.0,109,1,1,2
NATIONAL ENGINEERING WORKS,28779528.0,111,2,3,3
ASSISTANT ENGINEER NARKATIYAGINJ,28674423.0,39,1,1,1
AADITYA VAIDHYA,28669289.0,72,1,1,1
SAIBABA STONE CRUSHER AND CONSTRUCTION,28600445.0,6,1,1,1
Assistant Engineer Brahmpur,28526969.0,21,1,1,1
L G Arasu,28502346.0,46,1,2,1
Assistant Engineer Dumraon,28459769.0,22,1,1,1
EXCELLENT TRADERS,28413840.0,3,1,1,1
Raj Kishor Mahato,28350000.0,178,2,2,1
REVIAAN ENTERPRISES,28052182.0,26,1,2,1
GOODWILL COMMERCIAL,27855642.0,6,1,1,1
Ms Surya Narain Mishra,27766357.0,38,1,1,1
S P CONSTRUCTION,27467505.0,47,2,4,2
M P AGRO DHAR,27448720.0,289,1,2,1
JUNIOR ENGINEER RDSD BOKARO,27448000.0,114,1,1,1
VISION ELECTRICALS AND ELECTRONICS,27406861.0,142,5,5,3
PABAN AGARWALA,27261265.0,49,1,2,1
Trekocity,27237329.0,15,1,1,2
SARDAR ENTERPRISE,27228627.0,50,1,2,1
GUTHI SRINIVAS,27212348.0,73,1,1,1
Geetanjali Traders,27091200.0,57,1,2,2
L N DREAMWAY CONSTRUCTION,27064554.0,8,1,1,1
Project Manager,27050000.0,42,2,3,1
CHUBATOSHI PONGEN,27000000.0,3,1,1,1
M S RAJ KUMAR CONTRACTOR,26862464.0,29,1,2,1
UMA MAHESWARA TUBE WELLS KURNOOL,26729688.0,133,2,2,2
ASSISTANT ENGINEER PATNA SAHIB,26682416.0,33,1,1,1
DIVYANSHU CONSTRUCTION,26582928.0,189,2,2,3
GILL TRADING COMPANY,26574892.0,163,1,2,2
JE NREP MP GARHWA,26446414.0,108,1,2,1
MANISH KUMAR,25987965.0,34,4,6,3
Sri Ganapathi Constructions,25941275.0,20,1,1,1
MP STATE AGRO INDUSTRIES DEVELOPMENT CORPORATION LTD DAMOH,25925384.0,119,1,1,1
ASSISTANT ENGINEER CHAINPUR,25911662.0,55,1,2,1
KADDHURI KATTAIAH,25651731.0,244,1,1,1
